file_size_log,file_type_encoded,entropy,entropy_quartile_25,entropy_quartile_75,has_aes_ni,cpu_cores
5.010299956639812,1,7.900313345894115,0.0029296875,0.00458984375,0.0,16.0
4.010299956639812,1,7.809259227212427,0.0029296875,0.00439453125,0.0,16.0
7.020599913279624,1,7.898250874084616,0.00283203125,0.0046875,0.0,16.0
3.010299956639812,1,7.35990455499701,0.001953125,0.0048828125,0.0,16.0
6.020599913279624,1,7.905850783431543,0.0029296875,0.00458984375,0.0,16.0
1.806179973983887,1,4.819548827786958,0.015625,0.03125,0.0,16.0
5.010299956639812,3,7.982445247117047,0.003515625,0.004296875,0.0,16.0
4.010299956639812,3,7.981738725861405,0.003515625,0.004296875,0.0,16.0
3.010299956639812,3,7.821186651439837,0.0029296875,0.0048828125,0.0,16.0
6.020599913279624,3,7.982051478201322,0.003515625,0.004296875,0.0,16.0
1.806179973983887,3,5.0511085007312415,0.015625,0.015625,0.0,16.0
5.010299956639812,4,6.3315897058148725,0.008203125,0.01162109375,0.0,16.0
4.010299956639812,4,5.173563231945958,0.00595703125,0.0080078125,0.0,16.0
3.010299956639812,4,5.614128881044784,0.001953125,0.0126953125,0.0,16.0
6.020599913279624,4,4.741084394983396,9.765625e-05,0.02001953125,0.0,16.0
1.806179973983887,4,4.758969969293429,0.015625,0.03125,0.0,16.0
5.010299956639812,2,7.982256133610944,0.003515625,0.00419921875,0.0,16.0
4.010299956639812,2,7.977885367513638,0.00341796875,0.004296875,0.0,16.0
3.010299956639812,2,7.755064235213801,0.001953125,0.0048828125,0.0,16.0
6.020599913279624,2,7.981468531127438,0.00341796875,0.004296875,0.0,16.0
1.806179973983887,2,4.592845993578595,0.015625,0.03125,0.0,16.0
5.010299956639812,6,5.541153906766015,0.00400390625,0.0228515625,0.0,16.0
4.010299956639812,6,5.469439184909814,0.003125,0.02265625,0.0,16.0
3.010299956639812,6,5.522035764487541,0.00390625,0.0205078125,0.0,16.0
6.020599913279624,6,5.5117774047296395,0.00380859375,0.0220703125,0.0,16.0
1.806179973983887,6,4.395765086514732,0.015625,0.046875,0.0,16.0
5.010299956639812,0,4.160609505169162,0.00224609375,0.05146484375,0.0,16.0
4.010299956639812,0,4.160609505169162,0.00224609375,0.05146484375,0.0,16.0
3.010299956639812,0,4.158231887872075,0.0029296875,0.05078125,0.0,16.0
6.020599913279624,0,4.160609505169162,0.00224609375,0.05146484375,0.0,16.0
1.806179973983887,0,4.00433164979857,0.03125,0.078125,0.0,16.0
5.010299956639812,5,7.984527199156403,0.003515625,0.004296875,0.0,16.0
4.010299956639812,5,7.980289128358273,0.003515625,0.004296875,0.0,16.0
3.010299956639812,5,7.74372155375572,0.0029296875,0.0048828125,0.0,16.0
6.020599913279624,5,7.979556869386394,0.00361328125,0.00439453125,0.0,16.0
